Beverage_category,Beverage,Beverage_prep,size,kind,Calories,total_fat,trans_fat,saturated_fat,sodium,total_carbo,cholesterol,sugars,protein,vitA,vitC,calcium,iron,caffeine
Signature Espresso Drinks,Caramel Macchiato,2% Milk,short,coffee,120,4,2,0.1,15,80,16,15,5,10%,0%,15%,0%,75
Signature Espresso Drinks,Caramel Macchiato,Soymilk,short,coffee,100,3,1,0,0,60,14,11,4,6%,0%,15%,8%,75
Signature Espresso Drinks,Caramel Macchiato,Tall Nonfat Milk,tall,coffee,140,1,0.5,0,5,105,25,24,8,15%,0%,25%,0%,75
Signature Espresso Drinks,Caramel Macchiato,2% Milk,tall,coffee,180,5,3,0.1,20,115,25,23,8,15%,0%,25%,0%,75
Signature Espresso Drinks,Caramel Macchiato,Soymilk,tall,coffee,150,4.5,1,0,0,90,21,17,7,10%,0%,25%,10%,75
Signature Espresso Drinks,Caramel Macchiato,Grande Nonfat Milk,grande,coffee,190,1,1,0,10,130,35,32,11,20%,0%,35%,0%,150
Signature Espresso Drinks,Caramel Macchiato,2% Milk,grande,coffee,240,7,3.5,0.2,25,150,34,32,10,15%,2%,30%,0%,150
Signature Espresso Drinks,Caramel Macchiato,Soymilk,grande,coffee,200,5,1,0,5,115,29,24,9,10%,0%,35%,15%,150
Signature Espresso Drinks,Caramel Macchiato,Venti Nonfat Milk,venti,coffee,240,1,1,0,10,170,43,41,13,25%,0%,40%,0%,150
Signature Espresso Drinks,Caramel Macchiato,2% Milk,venti,coffee,300,8,4.5,0.2,35,180,43,40,13,20%,2%,40%,0%,150
Signature Espresso Drinks,Caramel Macchiato,Soymilk,venti,coffee,250,7,1.5,0,5,140,36,31,11,15%,0%,40%,20%,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Short Nonfat Milk,short,coffee,180,3,2,0,5,120,31,29,7,10%,0%,25%,0%,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),2% Milk,short,coffee,200,6,3.5,0.1,15,125,31,29,7,8%,2%,25%,0%,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Soymilk,short,coffee,180,5,2.5,0,0,110,28,25,6,6%,0%,25%,8%,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall Nonfat Milk,tall,coffee,270,4.5,3.5,0,5,190,47,45,12,15%,2%,35%,0%,75
